Transaction vs category,Transaction,Category
Transaction1 - Category1,Transaction1,Category1
Transaction2 - Category2,Transaction2,Category2
Transaction3 - Category3,Transaction3,Category3
Transaction4 - Category4,Transaction4,Category4
Transaction5 - Category0,Transaction5,Category0
Transaction6 - Category1,Transaction6,Category1
Transaction7 - Category2,Transaction7,Category2
Transaction8 - Category3,Transaction8,Category3
Transaction9 - Category4,Transaction9,Category4
Transaction10 - Category0,Transaction10,Category0
Transaction11 - Category1,Transaction11,Category1
Transaction12 - Category2,Transaction12,Category2
Transaction13 - Category3,Transaction13,Category3
Transaction14 - Category4,Transaction14,Category4
Transaction15 - Category0,Transaction15,Category0
Transaction16 - Category1,Transaction16,Category1
Transaction17 - Category2,Transaction17,Category2
Transaction18 - Category3,Transaction18,Category3
Transaction19 - Category4,Transaction19,Category4
Transaction20 - Category0,Transaction20,Category0
Transaction21 - Category1,Transaction21,Category1
Transaction22 - Category2,Transaction22,Category2
Transaction23 - Category3,Transaction23,Category3
Transaction24 - Category4,Transaction24,Category4
Transaction25 - Category0,Transaction25,Category0
Transaction26 - Category1,Transaction26,Category1
Transaction27 - Category2,Transaction27,Category2
Transaction28 - Category3,Transaction28,Category3
Transaction29 - Category4,Transaction29,Category4
Transaction30 - Category0,Transaction30,Category0
Transaction31 - Category1,Transaction31,Category1
Transaction32 - Category2,Transaction32,Category2
Transaction33 - Category3,Transaction33,Category3
Transaction34 - Category4,Transaction34,Category4
Transaction35 - Category0,Transaction35,Category0
Transaction36 - Category1,Transaction36,Category1
Transaction37 - Category2,Transaction37,Category2
Transaction38 - Category3,Transaction38,Category3
Transaction39 - Category4,Transaction39,Category4
Transaction40 - Category0,Transaction40,Category0
